사례 ID,확인 내용,사용자 결과,실기기 결과,기기·브라우저,관찰·결함
"C01-01","준비 드롭다운·외지인 보정·새 징크스 표시","미확인","미확인","",""
"C01-02","초기 부여·수신자 분리","미확인","미확인","",""
"C01-03","악마 중독과 부여 능력","미확인","미확인","",""
"C01-04","과학자 중독·미사용 능력 회복","미확인","미확인","",""
"C01-05","회복 후 사용 소진 유지","미확인","미확인","",""
"C01-06","새 악마 재부여·별도 사용 기록","미확인","미확인","",""
"C01-07","열기구 정상 연속 정보·죽은 대상","미확인","미확인","",""
"C01-08","열기구 중독·회복 기준","미확인","미확인","",""
"C01-09","광신자 강제 투표","미확인","미확인","",""
"C01-10","광신자 5명/4명 경계","미확인","미확인","",""
"C01-11","광신자 중독·사망","미확인","미확인","",""
"C02-N01","실제 야경꾼 사용 시 5번에게 2번을 통지하고 사용함 토큰이 남는다.","미확인","미확인","",""
"C02-N02","이미 사용한 실제 야경꾼은 다음 밤에 다시 나타나지 않는다.","미확인","미확인","",""
"C02-N03","오늘 사용하지 않음은 즉시 진행하고 다음 밤에도 같은 야경꾼 능력을 남긴다.","미확인","미확인","",""
"C02-N04","중독된 야경꾼은 대상을 선택하면 소진되지만 대상에게 통지를 만들지 않는다.","미확인","미확인","",""
"C02-N05","야경꾼 중독이 풀려도 사용 횟수는 돌아오지 않고 다음 단계가 낮 시작이다.","미확인","미확인","",""
"C02-P01","픽시 공개는 야경꾼 직업만 포함하고 대상 2번을 포함하지 않는다.","미확인","미확인","",""
"C02-P02","집착 성공 후 대상 사망 즉시 야경꾼 능력 획득·능력 가짐 토큰, 후속 질문 없음.","미확인","미확인","",""
"C02-P03","픽시가 얻은 야경꾼을 실제 사용하면 5번에게 1번을 통지하고 그 능력만 소진한다.","미확인","미확인","",""
"C02-P04","불충분 상태에서 대상 사망 시 능력·집착 토큰·자유행동이 모두 없다.","미확인","미확인","",""
"C02-P05","픽시가 중독된 순간 대상이 죽으면 능력을 얻지 않고 집착 토큰을 제거한다.","미확인","미확인","",""
"C02-P06","다음 밤 중독이 풀려도 이전 대상 사망에 대한 소급 획득과 자유행동이 없다.","미확인","미확인","",""
"C02-P07","대상은 요리사로 바뀌었지만 픽시가 얻은 능력은 처음 알려준 야경꾼이다.","미확인","미확인","",""
"C02-P08","픽시가 먼저 죽었으면 이후 집착 대상 사망으로 능력을 얻지 않는다.","미확인","미확인","",""
"C03-01","가장 직업만 열기구 조종사인 10인 게임에서 +0은 주민7/외지인0, +1은 주민6/외지인1로 적법하게 시작한다.","미확인","미확인","",""
"C03-02","악마는 마귀할멈과 꼭두각시를 구별해 알며 꼭두각시는 하수인 정보 수신자에서 제외된다.","미확인","미확인","",""
"C03-03","보르톡스 아래 픽시는 미배정 주민인 야경꾼을 전달받고 공개 페이로드에 집착 대상은 포함되지 않는다.","미확인","미확인","",""
"C03-04","보르톡스 아래 가장 열기구는 둘째 밤에도 거짓 강제가 없다. 첫밤 1번 주민 뒤 8번 하수인이라는 다른 유형의 참 정보를 실제 명령으로 전달할 수 있다.","미확인","미확인","",""
"C03-05","집착 대상으로 표시한 백치천재가 죽으면 픽시가 알려준 야경꾼 능력을 즉시 얻고 집착 자유행동이 사라진다.","미확인","미확인","",""
"C03-06","획득한 야경꾼은 실제로 작동하며 보르톡스의 거짓 신원 통지를 만들고 사용을 소진한다.","미확인","미확인","",""
"C03-07","중도 생성은 가장 직업 선택 후 본인의 선·야경꾼 통지, 악마의 꼭두각시 통지가 분리된다. 실제 선 진영은 유지한다.","미확인","미확인","",""
"C03-08","가짜 야경꾼은 사용해도 실제 신원 통지를 만들지 않으며 수학자 오작동 수는 1이다.","미확인","미확인","",""
"C03-09","가짜 야경꾼이 오늘 사용하지 않으면 수학자 오작동 수는 0이다.","미확인","미확인","",""
"C03-10","보르톡스 없이 첫 정보 시 픽시가 중독이면 게임에 있는 주민과 없는 주민을 모두 알려줄 수 있다.","미확인","미확인","",""
