case,game,user_result,device_result,environment,observation,defect
G01-C01,G01,unverified,unverified,,,
G01-C02,G01,unverified,unverified,,,
G01-C03,G01,unverified,unverified,,,
G01-C04,G01,unverified,unverified,,,
G01-C05,G01,unverified,unverified,,,
G01-C06,G01,unverified,unverified,,,
G01-C07,G01,unverified,unverified,,,
G01-C08,G01,unverified,unverified,,,
G01-C09,G01,unverified,unverified,,,
G01-C10,G01,unverified,unverified,,,
G01-C11,G01,unverified,unverified,,,
G01-C12,G01,unverified,unverified,,,
G01-C13,G01,unverified,unverified,,,
G01-C14,G01,unverified,unverified,,,
G01-C15,G01,unverified,unverified,,,
G01-C16,G01,unverified,unverified,,,
G01-C17,G01,unverified,unverified,,,
G01-C18,G01,unverified,unverified,,,
G01-C19,G01,unverified,unverified,,,
G01-C20,G01,unverified,unverified,,,
G01-C21,G01,unverified,unverified,,,
G02-C01,G02,unverified,unverified,,,
G02-C02,G02,unverified,unverified,,,
G02-C03,G02,unverified,unverified,,,
G02-C04,G02,unverified,unverified,,,
G02-C05,G02,unverified,unverified,,,
G02-C06,G02,unverified,unverified,,,
G02-C07,G02,unverified,unverified,,,
G02-C08,G02,unverified,unverified,,,
G02-C09,G02,unverified,unverified,,,
G02-C10,G02,unverified,unverified,,,
G02-C11,G02,unverified,unverified,,,
G02-C12,G02,unverified,unverified,,,
G02-C13,G02,unverified,unverified,,,
G02-C14,G02,unverified,unverified,,,
G02-C15,G02,unverified,unverified,,,
G02-C16,G02,unverified,unverified,,,
G02-C17,G02,unverified,unverified,,,
G02-C18,G02,unverified,unverified,,,
G02-C19,G02,unverified,unverified,,,
G02-C20,G02,unverified,unverified,,,
G03-C01,G03,unverified,unverified,,,
G03-C02,G03,unverified,unverified,,,
G03-C03,G03,unverified,unverified,,,
G03-C04,G03,unverified,unverified,,,
G03-C05,G03,unverified,unverified,,,
G03-C06,G03,unverified,unverified,,,
G03-C07,G03,unverified,unverified,,,
G03-C08,G03,unverified,unverified,,,
G03-C09,G03,unverified,unverified,,,
G03-C10,G03,unverified,unverified,,,
G03-C11,G03,unverified,unverified,,,
G03-C12,G03,unverified,unverified,,,
G03-C13,G03,unverified,unverified,,,
G03-C14,G03,unverified,unverified,,,
G03-C15,G03,unverified,unverified,,,
G03-C16,G03,unverified,unverified,,,
G03-C17,G03,unverified,unverified,,,
G04-C01,G04,unverified,unverified,,,
G04-C02,G04,unverified,unverified,,,
G04-C03,G04,unverified,unverified,,,
G04-C04,G04,unverified,unverified,,,
G04-C05,G04,unverified,unverified,,,
G04-C06,G04,unverified,unverified,,,
G04-C07,G04,unverified,unverified,,,
G04-C08,G04,unverified,unverified,,,
G04-C09,G04,unverified,unverified,,,
G04-C10,G04,unverified,unverified,,,
G04-C11,G04,unverified,unverified,,,
G05-C01,G05,unverified,unverified,,,
G05-C02,G05,unverified,unverified,,,
G05-C03,G05,unverified,unverified,,,
G05-C04,G05,unverified,unverified,,,
G05-C05,G05,unverified,unverified,,,
G05-C06,G05,unverified,unverified,,,
G05-C07,G05,unverified,unverified,,,
G05-C08,G05,unverified,unverified,,,
G05-C09,G05,unverified,unverified,,,
G05-C10,G05,unverified,unverified,,,
G05-C11,G05,unverified,unverified,,,
